,words,word length,# unique characters,# non-unique characters,contains repeat characters?,# vowels,# consonants
0,and,3,3,0,False,1,2
1,have,4,4,0,False,2,2
2,that,4,3,1,True,1,3
3,for,3,3,0,False,1,2
4,you,3,3,0,False,2,1
5,with,4,4,0,False,1,3
6,say,3,3,0,False,1,2
7,this,4,4,0,False,1,3
8,they,4,4,0,False,1,3
9,but,3,3,0,False,1,2
10,his,3,3,0,False,1,2
11,from,4,4,0,False,1,3
12,not,3,3,0,False,1,2
13,she,3,3,0,False,1,2
14,as,2,2,0,False,1,1
15,what,4,4,0,False,1,3
16,their,5,5,0,False,2,3
17,can,3,3,0,False,1,2
18,who,3,3,0,False,1,2
19,get,3,3,0,False,1,2
20,would,5,5,0,False,2,3
21,her,3,3,0,False,1,2
22,all,3,2,1,True,1,2
23,make,4,4,0,False,2,2
24,about,5,5,0,False,3,2
25,know,4,4,0,False,1,3
26,will,4,3,1,True,1,3
27,one,3,3,0,False,2,1
28,time,4,4,0,False,2,2
29,there,5,4,1,True,2,3
30,year,4,4,0,False,2,2
31,think,5,5,0,False,1,4
32,when,4,4,0,False,1,3
33,which,5,4,1,True,1,4
34,them,4,4,0,False,1,3
35,some,4,4,0,False,2,2
36,people,6,4,2,True,3,3
37,take,4,4,0,False,2,2
38,out,3,3,0,False,2,1
39,into,4,4,0,False,2,2
40,just,4,4,0,False,1,3
41,see,3,2,1,True,2,1
42,him,3,3,0,False,1,2
43,your,4,4,0,False,2,2
44,come,4,4,0,False,2,2
45,could,5,5,0,False,2,3
46,now,3,3,0,False,1,2
47,than,4,4,0,False,1,3
48,like,4,4,0,False,2,2
49,other,5,5,0,False,2,3
50,how,3,3,0,False,1,2
51,then,4,4,0,False,1,3
52,its,3,3,0,False,1,2
53,our,3,3,0,False,2,1
54,two,3,3,0,False,1,2
55,more,4,4,0,False,2,2
56,these,5,4,1,True,2,3
57,want,4,4,0,False,1,3
58,way,3,3,0,False,1,2
59,look,4,3,1,True,2,2
60,first,5,5,0,False,1,4
61,also,4,4,0,False,2,2
62,new,3,3,0,False,1,2
63,because,7,6,1,True,4,3
64,day,3,3,0,False,1,2
65,use,3,3,0,False,2,1
66,man,3,3,0,False,1,2
67,find,4,4,0,False,1,3
68,here,4,3,1,True,2,2
69,thing,5,5,0,False,1,4
70,give,4,4,0,False,2,2
71,many,4,4,0,False,1,3
72,well,4,3,1,True,1,3
73,only,4,4,0,False,1,3
74,those,5,5,0,False,2,3
75,tell,4,3,1,True,1,3
76,very,4,4,0,False,1,3
77,even,4,3,1,True,2,2
78,back,4,4,0,False,1,3
79,any,3,3,0,False,1,2
80,good,4,3,1,True,2,2
81,woman,5,5,0,False,2,3
82,through,7,6,1,True,2,5
83,life,4,4,0,False,2,2
84,child,5,5,0,False,1,4
85,work,4,4,0,False,1,3
86,down,4,4,0,False,1,3
87,may,3,3,0,False,1,2
88,after,5,5,0,False,2,3
89,should,6,6,0,False,2,4
90,call,4,3,1,True,1,3
91,world,5,5,0,False,1,4
92,over,4,4,0,False,2,2
93,school,6,5,1,True,2,4
94,still,5,4,1,True,1,4
95,try,3,3,0,False,0,3
96,last,4,4,0,False,1,3
97,ask,3,3,0,False,1,2
98,need,4,3,1,True,2,2
99,too,3,2,1,True,2,1
100,feel,4,3,1,True,2,2
101,three,5,4,1,True,2,3
102,state,5,4,1,True,2,3
103,never,5,4,1,True,2,3
104,become,6,5,1,True,3,3
105,between,7,5,1,True,3,4
106,high,4,3,1,True,1,3
107,really,6,5,1,True,2,4
108,something,9,9,0,False,3,6
109,most,4,4,0,False,1,3
110,another,7,7,0,False,3,4
111,much,4,4,0,False,1,3
112,family,6,6,0,False,2,4
113,own,3,3,0,False,1,2
114,leave,5,4,1,True,3,2
115,put,3,3,0,False,1,2
116,old,3,3,0,False,1,2
117,while,5,5,0,False,2,3
118,mean,4,4,0,False,2,2
119,keep,4,3,1,True,2,2
120,student,7,6,1,True,2,5
121,why,3,3,0,False,0,3
122,let,3,3,0,False,1,2
123,great,5,5,0,False,2,3
124,same,4,4,0,False,2,2
125,big,3,3,0,False,1,2
126,group,5,5,0,False,2,3
127,begin,5,5,0,False,2,3
128,seem,4,3,1,True,2,2
129,country,7,7,0,False,2,5
130,help,4,4,0,False,1,3
131,talk,4,4,0,False,1,3
132,where,5,4,1,True,2,3
133,turn,4,4,0,False,1,3
134,problem,7,7,0,False,2,5
135,every,5,4,1,True,2,3
136,start,5,4,1,True,1,4
137,hand,4,4,0,False,1,3
138,might,5,5,0,False,1,4
139,American,8,8,0,False,3,5
140,show,4,4,0,False,1,3
141,part,4,4,0,False,1,3
142,against,7,6,1,True,3,4
143,place,5,5,0,False,2,3
144,such,4,4,0,False,1,3
145,again,5,4,1,True,3,2
146,few,3,3,0,False,1,2
147,case,4,4,0,False,2,2
148,week,4,3,1,True,2,2
149,company,7,7,0,False,2,5
150,system,6,5,1,True,1,5
151,each,4,4,0,False,2,2
152,right,5,5,0,False,1,4
153,program,7,6,1,True,2,5
154,hear,4,4,0,False,2,2
155,question,8,8,0,False,4,4
156,during,6,6,0,False,2,4
157,play,4,4,0,False,1,3
158,government,10,8,2,True,3,7
159,run,3,3,0,False,1,2
160,small,5,4,1,True,1,4
161,number,6,6,0,False,2,4
